city_name,country,latitude,longitude,max_temperature,humidity,cloudiness,wind speed
Oranjemund,NA,-28.55,16.4333,11.46,85,0,5.25
Laas,IT,46.6166,10.7002,4.83,92,99,1.2
Kidal,ML,18.4411,1.4078,26.04,10,0,4.49
Río Gallegos,AR,-51.6226,-69.2181,7.03,93,100,5.14
Qaqortoq,GL,60.7167,-46.0333,1.99,90,100,1.81
Darnah,LY,32.767,22.6367,15.43,82,100,4.04
Hofn,IS,64.2539,-15.2082,4.95,90,99,2.15
Ancud,CL,-41.8697,-73.8203,6.79,75,64,9.71
Kavaratti,IN,10.5669,72.642,28.94,71,5,0.56
Andrews,US,32.3187,-102.5457,22.45,39,0,7.2
Khatanga,RU,71.9667,102.5,-17.34,95,88,2.59
São Filipe,CV,14.8961,-24.4956,23.39,75,6,1.58
San Francisco,US,37.7749,-122.4194,25.84,67,20,9.77
Petawawa,CA,45.9001,-77.3328,8.01,70,100,4.02
Mbandaka,CD,0.0487,18.2603,22.3,86,100,1.15
Koshurnikovo,RU,54.1667,93.3,-3.8,76,71,1.26
Dikson,RU,73.5069,80.5464,-12.9,93,100,7.42
Butaritari,KI,3.0707,172.7902,27.42,77,49,4.9
Puerto Padre,CU,21.195,-76.6028,24.51,75,100,6.11
Havøysund,NO,70.9963,24.6622,1.13,71,100,3.77
Saint Paul Harbor,US,57.79,-152.4072,11.73,54,75,3.6
Nacala,MZ,-14.5428,40.6728,23.87,93,98,1.84
Três Passos,BR,-27.4556,-53.9319,19.39,94,0,2.46
Walvis Bay,NA,-22.9575,14.5053,14.98,73,0,4.97
Rājula,IN,21.05,71.4333,29.13,30,0,7.27
Bredasdorp,ZA,-34.5322,20.0403,13.45,75,75,2.21
Comodoro Rivadavia,AR,-45.8667,-67.5,8.92,53,0,15.95
Lucea,JM,18.451,-78.1736,22.14,85,100,3.23
Kapaa,US,22.0752,-159.319,27.99,74,75,6.69
Makakilo City,US,21.3469,-158.0858,28.18,51,40,9.26
Port Hedland,AU,-20.3167,118.5667,30.03,42,82,3.09
Shīeli,KZ,44.1667,66.75,10.61,69,3,3.77
Diffa,NE,13.3154,12.6113,31.89,13,94,2.87
Odesa,UA,46.4775,30.7326,10.29,83,100,2.86
Beringovskiy,RU,63.05,179.3167,-1.64,77,100,4.17
Hambantota,LK,6.1241,81.1185,26.92,82,98,1.69
Tuktoyaktuk,CA,69.4541,-133.0374,0.02,88,100,1.79
Brae,GB,60.3964,-1.353,7.3,87,25,8.41
Marau,BR,-28.4492,-52.2,15.91,83,0,1.91
Port Hardy,CA,50.6996,-127.4199,7.62,92,100,5.21
Yanam,IN,16.7333,82.2167,27.28,85,0,1.99
Flinders,AU,-34.5833,150.8552,18.43,90,100,4.92
Monterey,US,36.2505,-121.2516,22.32,46,0,5.12
Xinzhou,CN,38.4092,112.7333,22.39,14,0,0.32
Richards Bay,ZA,-28.783,32.0377,19.16,92,100,4.95
Jalu,LY,29.0331,21.5482,20.79,42,4,4.08
Henties Bay,NA,-22.116,14.2845,14.94,83,0,4.26
Miaga,PH,12.2376,123.8167,28.75,74,27,3.81
Lázaro Cárdenas,MX,17.9583,-102.2,25.71,66,9,3.61
Port Said,EG,31.2565,32.2841,19.09,78,0,3.45
Beijing,CN,39.9075,116.3972,18.94,45,100,1.73
Kaitangata,NZ,-46.2817,169.8464,14.47,67,43,8.31
Aksay,RU,47.26,39.87,14.03,60,7,2.68
Adamovka,RU,51.5223,59.9396,5.0,49,45,1.79
Lata,PT,40.1629,-8.3327,10.04,95,16,0.84
Ust'-Barguzin,RU,53.45,108.9833,-0.97,72,100,2.15
Torbay,CA,47.6666,-52.7314,3.2,96,100,7.2
Balyqshy,KZ,47.0667,51.8667,11.0,82,0,3.0
Tyret’ Pervaya,RU,53.6703,102.3106,-3.53,69,94,5.64
Korla,CN,41.7597,86.1469,19.32,27,96,4.4
Skellefteå,SE,64.7507,20.9528,1.2,64,75,1.03
Nanortalik,GL,60.1432,-45.2371,2.97,90,100,1.53
Omsukchan,RU,62.5333,155.8,-4.1,89,100,2.94
Timizart,DZ,36.8,4.2667,11.07,80,100,2.25
Margate,GB,51.3813,1.3862,9.06,84,0,3.13
Kapit,MY,2.0167,112.9333,24.1,99,100,0.82
Chu,KZ,43.5983,73.7614,11.69,81,100,5.97
Estrela,BR,-28.0611,-50.9383,11.9,94,0,2.17
Mareeba,AU,-17.0,145.4333,24.13,94,100,2.02
Ulladulla,AU,-35.35,150.4667,19.87,70,100,2.44
Airai,TL,-8.9266,125.4092,22.59,39,99,1.21
Soe,ID,-9.8607,124.284,25.26,45,100,1.53
Maralal,KE,1.0968,36.698,14.97,80,90,2.02
Okhotsk,RU,59.3833,143.3,-0.27,83,25,5.37
Tiksi,RU,71.6872,128.8694,-15.16,95,93,1.58
Bulancak,TR,40.9372,38.2291,8.9,93,0,1.54
São João da Barra,BR,-21.6403,-41.0511,23.67,82,100,5.33
Oppdal,NO,62.5943,9.6912,-0.35,78,73,1.7
Nara,JP,34.6851,135.8049,22.2,51,32,1.32
High Prairie,CA,55.4334,-116.4858,14.34,41,99,4.86
Cidreira,BR,-30.1811,-50.2056,20.38,87,0,9.13
Felipe Carrillo Puerto,MX,19.5833,-88.05,24.61,79,0,2.0
Maceió,BR,-9.6658,-35.7353,25.69,83,75,1.54
Chernyshevskiy,RU,63.0128,112.4714,-5.3,83,100,0.86
Myre,NO,69.1036,15.9492,2.97,77,100,2.85
Sorong,ID,-0.8833,131.25,28.3,76,61,0.27
Hamilton,US,39.1834,-84.5333,25.05,54,0,3.6
Innisfail,AU,-17.5333,146.0333,24.9,91,100,3.23
Baní,DO,18.2833,-70.3333,24.69,74,16,4.98
Lorengau,PG,-2.0226,147.2712,29.51,66,69,3.99
Oussouye,SN,12.485,-16.5469,23.59,67,11,3.43
Domoni,KM,-12.2569,44.5319,26.15,88,100,2.29
Bonfim,BR,3.0833,-59.95,27.81,67,100,2.37
Florence,IT,43.7667,11.25,12.28,96,75,0.89
Poykovskiy,RU,61.2333,73.3333,2.16,59,0,4.0
Japura,ID,-0.3167,102.35,25.43,94,97,0.62
Dubbo,AU,-32.25,148.6167,19.07,59,100,6.69
Bandarbeyla,SO,9.4942,50.8122,27.35,73,66,3.16
Karaton,ID,-6.3424,106.1045,27.27,78,56,2.33
Ziarat,PK,30.3823,67.7282,12.21,34,0,1.75
